"Latitude","Longitude","Bathymetry","site"
"-28.6",153.31,326,"CapeByron"
"-31.8",153.32,-1059,"DiamondHead"
"-30",153.32,-31,"NorthSolitary"
"-29",153.32,2,"EvansHead"
"-28.6",153.32,348,"CapeByron"
"-31.8",153.33,-1086,"DiamondHead"
"-30",153.33,-36,"NorthSolitary"
"-29",153.33,2,"EvansHead"
"-28.6",153.33,364,"CapeByron"
"-31.8",153.34,-1140,"DiamondHead"
"-30",153.34,-40,"NorthSolitary"
"-29",153.34,3,"EvansHead"
"-28.6",153.34,294,"CapeByron"
"-31.8",153.35,-1267,"DiamondHead"
"-30",153.35,-46,"NorthSolitary"
"-29",153.35,3,"EvansHead"
"-28.6",153.35,356,"CapeByron"
"-31.8",153.36,-1714,"DiamondHead"
"-30",153.36,-54,"NorthSolitary"
"-29",153.36,3,"EvansHead"
"-28.6",153.36,351,"CapeByron"
"-31.8",153.37,-1851,"DiamondHead"
"-30",153.37,-57,"NorthSolitary"
"-29",153.37,2,"EvansHead"
"-28.6",153.37,403,"CapeByron"
"-31.8",153.38,-1899,"DiamondHead"
"-30",153.38,-59,"NorthSolitary"
"-29",153.38,2,"EvansHead"
"-28.6",153.38,417,"CapeByron"
"-31.8",153.39,-1949,"DiamondHead"
"-30",153.39,-62,"NorthSolitary"
"-29",153.39,-1,"EvansHead"
"-28.6",153.39,358,"CapeByron"
"-31.8",153.4,-2032,"DiamondHead"
"-30",153.4,-65,"NorthSolitary"
"-29",153.4,3,"EvansHead"
"-28.6",153.4,178,"CapeByron"
"-31.8",153.41,-2306,"DiamondHead"
"-30",153.41,-70,"NorthSolitary"
"-29",153.41,18,"EvansHead"
"-28.6",153.41,216,"CapeByron"
"-31.8",153.42,-2462,"DiamondHead"
"-30",153.42,-72,"NorthSolitary"
"-29",153.42,3,"EvansHead"
"-28.6",153.42,307,"CapeByron"
"-31.8",153.43,-2619,"DiamondHead"
"-30",153.43,-74,"NorthSolitary"
"-29",153.43,7,"EvansHead"
"-28.6",153.43,226,"CapeByron"
"-31.8",153.44,-2772,"DiamondHead"
"-30",153.44,-76,"NorthSolitary"
"-29",153.44,2,"EvansHead"
"-28.6",153.44,263,"CapeByron"
"-31.8",153.45,-2914,"DiamondHead"
"-30",153.45,-78,"NorthSolitary"
"-29",153.45,8,"EvansHead"
"-28.6",153.45,169,"CapeByron"
"-31.8",153.46,-3112,"DiamondHead"
"-30",153.46,-83,"NorthSolitary"
"-29",153.46,4,"EvansHead"
"-28.6",153.46,120,"CapeByron"
"-31.8",153.47,-3187,"DiamondHead"
"-30",153.47,-85,"NorthSolitary"
"-29",153.47,3,"EvansHead"
"-28.6",153.47,131,"CapeByron"
"-31.8",153.48,-3246,"DiamondHead"
"-30",153.48,-87,"NorthSolitary"
"-29",153.48,-3,"EvansHead"
"-28.6",153.48,87,"CapeByron"
"-31.8",153.49,-3286,"DiamondHead"
"-30",153.49,-88,"NorthSolitary"
"-29",153.49,-8,"EvansHead"
"-28.6",153.49,50,"CapeByron"
"-31.8",153.5,-3326,"DiamondHead"
"-30",153.5,-89,"NorthSolitary"
"-29",153.5,-17,"EvansHead"
"-28.6",153.5,40,"CapeByron"
"-31.8",153.51,-3414,"DiamondHead"
"-30",153.51,-93,"NorthSolitary"
"-29",153.51,-24,"EvansHead"
"-28.6",153.51,17,"CapeByron"
"-31.8",153.52,-3472,"DiamondHead"
"-30",153.52,-107,"NorthSolitary"
"-29",153.52,-25,"EvansHead"
"-28.6",153.52,21,"CapeByron"
"-31.8",153.53,-3510,"DiamondHead"
"-30",153.53,-132,"NorthSolitary"
"-29",153.53,-28,"EvansHead"
"-28.6",153.53,18,"CapeByron"
"-31.8",153.54,-3540,"DiamondHead"
"-30",153.54,-165,"NorthSolitary"
"-29",153.54,-30,"EvansHead"
"-28.6",153.54,6,"CapeByron"
"-31.8",153.55,-3646,"DiamondHead"
"-30",153.55,-258,"NorthSolitary"
"-29",153.55,-33,"EvansHead"
"-28.6",153.55,14,"CapeByron"
"-31.8",153.56,-3703,"DiamondHead"
"-30",153.56,-320,"NorthSolitary"
"-29",153.56,-35,"EvansHead"
"-28.6",153.56,13,"CapeByron"
"-31.8",153.57,-3755,"DiamondHead"
"-30",153.57,-366,"NorthSolitary"
"-29",153.57,-38,"EvansHead"
"-28.6",153.57,7,"CapeByron"
"-31.8",153.58,-3798,"DiamondHead"
"-30",153.58,-407,"NorthSolitary"
"-29",153.58,-40,"EvansHead"
"-28.6",153.58,-2,"CapeByron"
"-31.8",153.59,-3833,"DiamondHead"
"-30",153.59,-444,"NorthSolitary"
"-29",153.59,-42,"EvansHead"
"-28.6",153.59,-11,"CapeByron"
"-31.8",153.6,-3865,"DiamondHead"
"-30",153.6,-524,"NorthSolitary"
"-29",153.6,-43,"EvansHead"
"-28.6",153.6,-17,"CapeByron"
"-31.8",153.61,-3939,"DiamondHead"
"-30",153.61,-816,"NorthSolitary"
"-29",153.61,-44,"EvansHead"
"-28.6",153.61,-22,"CapeByron"
"-31.8",153.62,-3996,"DiamondHead"
"-30",153.62,-972,"NorthSolitary"
"-29",153.62,-45,"EvansHead"
"-28.6",153.62,-23,"CapeByron"
"-31.8",153.63,-4069,"DiamondHead"
"-30",153.63,-952,"NorthSolitary"
"-29",153.63,-46,"EvansHead"
"-28.6",153.63,-26,"CapeByron"
"-31.8",153.64,-4149,"DiamondHead"
"-30",153.64,-771,"NorthSolitary"
"-29",153.64,-48,"EvansHead"
"-28.6",153.64,-32,"CapeByron"
"-31.8",153.65,-4226,"DiamondHead"
"-30",153.65,-651,"NorthSolitary"
"-29",153.65,-51,"EvansHead"
"-28.6",153.65,-39,"CapeByron"
"-31.8",153.66,-4344,"DiamondHead"
"-30",153.66,-1032,"NorthSolitary"
"-29",153.66,-55,"EvansHead"
"-28.6",153.66,-48,"CapeByron"
"-31.8",153.67,-4371,"DiamondHead"
"-30",153.67,-1246,"NorthSolitary"
"-29",153.67,-58,"EvansHead"
"-28.6",153.67,-50,"CapeByron"
"-31.8",153.68,-4380,"DiamondHead"
"-30",153.68,-1254,"NorthSolitary"
"-29",153.68,-61,"EvansHead"
"-28.6",153.68,-53,"CapeByron"
"-31.8",153.69,-4388,"DiamondHead"
"-30",153.69,-1076,"NorthSolitary"
"-29",153.69,-65,"EvansHead"
"-28.6",153.69,-55,"CapeByron"
"-31.8",153.7,-4399,"DiamondHead"
"-30",153.7,-1001,"NorthSolitary"
"-29",153.7,-69,"EvansHead"
"-28.6",153.7,-57,"CapeByron"
"-31.8",153.71,-4415,"DiamondHead"
"-30",153.71,-1129,"NorthSolitary"
"-29",153.71,-76,"EvansHead"
"-28.6",153.71,-59,"CapeByron"
"-31.8",153.72,-4419,"DiamondHead"
"-30",153.72,-1181,"NorthSolitary"
"-29",153.72,-78,"EvansHead"
