"secs","depth","temp","distance","abund","sal","GeoMnESD","biomass","NBSS.Slope","lat","long","site","GA_depth","Norm.GeoMnESD","Norm.Biomass","Norm.abund"
4970,4.71759186393183,21.322625,21585.3,3806.02195391539,35.6535625,0.000582552462288781,6372.95384748018,NA,-30.0013333333333,153.590489583333,"NorthSolitary",417,0.731296544329474,0.44343422133558,0.166153625630483
4990,22.8420872239535,21.3344782608696,21629.8,4319.31130178717,35.6538695652174,0.000447460940809476,152.972680731549,-1.11798015194667,-30.0012246376812,153.591028985507,"NorthSolitary",417,0.561711881623074,0.0106439373623632,0.188561506399186
5010,44.6887756176055,21.3215238095238,21722.4499776203,3739.68626574185,35.6583333333333,0.000447151270960359,143.810095381279,NA,-30.0011666666667,153.59176984127,"NorthSolitary",417,0.56132314326009,0.0100063987895986,0.163257710884802
5030,64.0509466290601,21.1645555555556,21806.4,1830.11036252174,35.6659444444444,0.000470210474132088,114.732247268005,NA,-30.0010833333333,153.592407407407,"NorthSolitary",417,0.590270090850395,0.00798314344446177,0.0798943032170601
5050,82.9148546267652,20.79025,21867.3499791291,1851.51282303574,35.65465,0.000426732182695914,60.0749672812356,NA,-30.001,153.592975,"NorthSolitary",439,0.535690415475403,0.00418005480278947,0.0808286373998037
5070,101.777057365544,20.2323333333333,21960.4999798834,1419.57409109407,35.6615555555556,0.000433381608979826,61.0725385282387,NA,-30.0009907407407,153.593740740741,"NorthSolitary",439,0.544037650751164,0.0042494664507832,0.0619721549014534
5090,117.171014537824,19.5831538461538,22032.6499766145,398.435882423247,35.649,0.000425533782759836,14.8878274190116,NA,-30.0008333333333,153.594384615385,"NorthSolitary",439,0.534186026104984,0.00103590459258358,0.0173939003104802
5110,115.67991726076,19.6780555555556,22124.3999839067,761.538320556009,35.6536111111111,0.000442468366508145,30.3415282742967,NA,-30.0008333333333,153.595166666667,"NorthSolitary",482,0.555444545082211,0.00211118302225961,0.0332453029827538
5130,93.3388457154831,20.584,22166.9,2443.92831397016,35.6593333333333,0.00042314770168959,81.0275091838619,NA,-30.0007160493827,153.595648148148,"NorthSolitary",482,0.531190703015446,0.00563794612382357,0.106690806060485
5150,70.5045841220527,21.1021578947368,22260.2500193622,992.448983766235,35.6673684210526,0.000489648601702653,57.8354365915188,NA,-30.0006666666667,153.596403508772,"NorthSolitary",482,0.614671387627582,0.00402422681920155,0.0433258133827659
